飞机转场记录号,到达日期,到达时刻,到达航班,到达类型,飞机型号,出发日期,出发时刻,出发航班,出发类型,上线机场,下线机场,机体类别,
PK001,2018/1/19,10:00:00,NV6294,D,321,2018/1/19,12:40:00,NV3118,I,QFL,NGN,W
PK002,2018/1/19,10:00:00,NV898,D,33E,2018/1/19,12:30:00,NV898,I,XOA,GDP,N
PK003,2018/1/19,10:05:00,GN0471,D,73A,2018/1/19,11:20:00,GN0460,D,AIB,AIB,W
PK004,2018/1/19,10:05:00,NV6513,D,320,2018/1/19,12:30:00,NV305,D,DUV,DUV,W
PK005,2018/1/19,10:10:00,GN0411,D,73H,2018/1/19,12:00:00,GN0236,D,TXB,SJA,W
PK006,2018/1/19,10:10:00,NV6443,D,325,2018/1/19,12:15:00,NV6144,I,TAY,JDO,W
PK007,2018/1/19,10:15:00,NV3120,D,73H,2018/1/19,11:15:00,NV3120,I,XVI,GTA,W
PK008,2018/1/19,10:15:00,NV632,D,325,2018/1/19,11:45:00,NV632,I,YJZ,OSU,W
PK009,2018/1/19,10:20:00,GN0495,D,73A,2018/1/19,11:30:00,GN0208,D,OOH,BPH,W
PK010,2018/1/19,10:20:00,NV323,I,325,2018/1/19,11:25:00,NV6390,D,NOM,AVI,W
PK011,2018/1/19,10:20:00,NV687,I,325,2018/1/19,11:25:00,NV618,I,IOE,ILH,W
PK012,2018/1/19,10:25:00,NV6731,D,325,2018/1/19,12:15:00,NV6118,I,ISC,UQF,W
PK013,2018/1/19,10:25:00,NV820,D,320,2018/1/19,11:35:00,NV820,I,MIX,OHP,W
PK014,2018/1/19,10:30:00,GN0457,D,738,2018/1/19,13:05:00,GN0656,D,DHP,XVU,W
PK015,2018/1/19,10:30:00,NV858,D,73H,2018/1/19,12:15:00,NV858,I,LNH,LJY,W
PK016,2018/1/19,10:35:00,NV6713,D,320,2018/1/19,12:25:00,NV6713,D,TIF,AIB,W
PK017,2018/1/19,10:40:00,GN0271,D,73H,2018/1/19,12:00:00,GN0492,D,DHR,LXM,W
PK018,2018/1/19,10:40:00,NV303,I,320,2018/1/19,12:30:00,NV303,D,OHP,YJZ,W
PK019,2018/1/19,10:45:00,NV643,I,320,2018/1/19,12:05:00,NV6770,D,GVL,EMD,W
PK020,2018/1/19,11:00:00,NV305,I,319,2018/1/19,12:15:00,NV6316,D,IJK,ITO,W
PK021,2018/1/19,11:00:00,NV6148,D,320,2018/1/19,12:20:00,NV6148,I,DUV,DKV,W
